Nazwa instancji,data15a.txt
Wynik optymalny,837
Sredni czas wykonania,1.29867e+06
Sredni blad bezwzgledny,27.5
Sredni blad wzgledny,0.0328554
Sredni blad wzgledny(w procentach),3.28554%
Numer proby,Czas wykonania
1,1.30592e+06
2,1.29222e+06
3,1.30593e+06
4,1.29264e+06
5,1.30334e+06
6,1.29322e+06
7,1.29311e+06
8,1.29088e+06
9,1.29311e+06
10,1.3027e+06
11,1.29207e+06
12,1.31081e+06
13,1.29528e+06
14,1.30546e+06
15,1.29345e+06
16,1.31535e+06
17,1.2934e+06
18,1.30296e+06
19,1.29073e+06
20,1.30587e+06
21,1.29419e+06
22,1.30555e+06
23,1.29526e+06
24,1.30593e+06
25,1.29278e+06
26,1.30881e+06
27,1.29534e+06
28,1.3057e+06
29,1.29378e+06
30,1.31024e+06
31,1.29406e+06
32,1.30476e+06
33,1.29464e+06
34,1.3039e+06
35,1.29142e+06
36,1.30461e+06
37,1.29285e+06
38,1.30432e+06
39,1.29235e+06
40,1.30402e+06
41,1.29299e+06
42,1.30349e+06
43,1.29149e+06
44,1.30366e+06
45,1.2914e+06
46,1.30624e+06
47,1.29002e+06
48,1.30158e+06
49,1.29164e+06
50,1.30444e+06
51,1.29144e+06
52,1.30568e+06
53,1.29137e+06
54,1.30267e+06
55,1.29112e+06
56,1.30403e+06
57,1.29292e+06
58,1.30282e+06
59,1.29075e+06
60,1.30136e+06
61,1.29132e+06
62,1.30349e+06
63,1.29209e+06
64,1.30481e+06
65,1.2932e+06
66,1.30444e+06
67,1.29273e+06
68,1.30481e+06
69,1.29033e+06
70,1.30341e+06
71,1.29093e+06
72,1.30735e+06
73,1.29296e+06
74,1.3024e+06
75,1.29181e+06
76,1.30634e+06
77,1.29377e+06
78,1.30362e+06
79,1.29418e+06
80,1.30498e+06
81,1.29124e+06
82,1.30519e+06
83,1.29165e+06
84,1.3046e+06
85,1.29418e+06
86,1.30293e+06
87,1.29096e+06
88,1.30285e+06
89,1.29225e+06
90,1.30354e+06
91,1.29469e+06
92,1.30364e+06
93,1.29765e+06
94,1.30512e+06
95,1.29343e+06
96,1.30465e+06
97,1.29208e+06
98,1.30541e+06
99,1.2919e+06
100,1.30569e+06
